Insee - Statistiques locales; ; ; ; ; ; 
Référentiel géographique : France par commune; ; ; ; ; ; 
Code;Libellé;Unités légales dans industrie manufacturière, industries extractives et autres (en nombre) 2021;Part construction dans les créations d'ent. 2023;Population municipale 2022;Créations d'entreprises (en nombre) 2023;Unités légales (en nombre) 2021
01151;Druillat;8;7.7;1144;13;71
01152;Échallon;4;11.1;774;9;44
01153;Échenevex;3;3.6;2227;28;88
01155;Évosges;0;0;143;2;7
01156;Faramans;3;12.5;905;8;45
01157;Fareins;35;2.9;2524;35;297
01158;Farges;3;23.5;1065;17;35
01159;Feillens;22;11.9;3388;42;248
01160;Ferney-Voltaire;18;5.7;11530;176;712
01162;Flaxieu;2;N/A - résultat non disponible;64;N/A - résultat non disponible;9
01163;Foissiat;13;20;2024;25;128
01165;Francheleins;8;20;1593;20;98
01166;Frans;14;15.8;2547;38;183
01167;Garnerans;3;0;685;5;48
01169;Genouilleux;2;15.4;675;13;35
01170;Béard-Géovreissiat;8;33.3;1048;9;69
01171;Géovreisset;10;0;843;7;54
01173;Gex;25;7.6;13455;172;576
01174;Giron;1;0;174;2;24
01175;Gorrevod;8;0;782;6;50
01177;Grand-Corent;0;0;186;2;8
01179;Grièges;4;19;1909;21;114
01180;Grilly;1;0;873;7;55
01181;Groissiat;39;4.8;1216;21;115
01183;Guéreins;27;8.7;1503;23;166
01184;Hautecourt-Romanèche;6;0;754;9;47
01185;Plateau d'Hauteville;26;4.5;4790;44;322
01187;Haut Valromey;13;7.1;603;14;80
01188;Illiat;3;33.3;696;6;44
01189;Injoux-Génissiat;5;22.2;1123;9;42
01190;Innimond;0;0;92;1;3
01191;Izenave;2;0;159;2;11
01192;Izernore;43;11.4;2262;35;173
01193;Izieu;3;0;223;1;10
01194;Jassans-Riottier;37;9.7;6315;93;429
01195;Jasseron;18;9.5;1900;21;112
01196;Jayat;5;0;1276;10;81
01197;Journans;3;0;384;6;20
01198;Joyeux;5;0;262;1;21
01199;Jujurieux;15;12.5;2209;24;124
01200;Labalme;1;0;207;3;17
01202;Lagnieu;28;7.5;7321;80;426
01203;Laiz;9;25;1292;12;72
01204;Le Poizat-Lalleyriat;3;0;740;6;46
01206;Lantenay;2;20;265;5;8
01207;Lapeyrouse;2;0;337;4;23
01208;Lavours;2;N/A - résultat non disponible;138;N/A - résultat non disponible;9
01209;Léaz;0;12.5;887;8;20
01210;Lélex;4;0;236;3;48
01211;Lent;8;8.7;1459;23;79
01212;Lescheroux;4;25;720;8;36
01213;Leyment;9;0;1417;13;80
01214;Leyssard;2;0;163;1;15
01215;Surjoux-Lhopital;2;N/A - résultat non disponible;140;N/A - résultat non disponible;7
01216;Lhuis;5;11.1;891;9;50
01219;Lompnas;1;0;162;3;10
01224;Loyettes;19;7.7;3468;52;239
01225;Lurcy;1;0;404;11;28
01227;Magnieu;9;0;651;6;43
01228;Maillat;14;12.5;693;8;68
01229;Malafretaz;4;0;1235;12;69
01230;Mantenay-Montlin;2;0;320;4;24
01231;Manziat;8;20;1985;20;109
01232;Marboz;15;0;2262;16;148
01233;Marchamp;2;0;135;2;11
01234;Marignieu;0;0;164;2;7
01235;Marlieux;8;11.1;1186;9;77
01236;Marsonnas;8;18.2;1034;11;56
01237;Martignat;27;24;1667;25;125
01238;Massieux;14;5.7;2733;35;206
01239;Massignieu-de-Rives;1;25;653;4;45
01240;Matafelon-Granges;4;0;630;7;31
01241;Meillonnas;10;14.3;1383;14;99
01242;Mérignat;0;N/A - résultat non disponible;133;N/A - résultat non disponible;11
01243;Messimy-sur-Saône;8;6.7;1312;15;101
01244;Meximieux;34;15;8198;107;606
01245;Bohas-Meyriat-Rignat;9;13.3;951;15;62
01246;Mézériat;14;13.3;2179;30;163
01247;Mijoux;3;28.6;297;14;51
01248;Mionnay;17;0;2309;31;171
01249;Miribel;87;5.4;10450;166;846
01250;Misérieux;11;24;2010;25;95
01252;Mogneneins;5;20;824;15;52
01254;Montagnat;21;0;2164;37;201
01255;Montagnieu;1;0;684;8;32
01257;Montanges;3;0;348;6;23
01258;Montceaux;8;6.7;1202;15;84
01259;Montcet;2;37.5;715;8;37
01260;Le Montellier;2;0;329;5;24
01261;Monthieux;4;0;673;12;54
01262;Montluel;36;14.7;6879;109;486
01263;Montmerle-sur-Saône;25;7.7;3798;39;258
01264;Montracol;5;22.2;1008;9;54
01265;Montréal-la-Cluse;28;18.2;3584;33;259
01266;Montrevel-en-Bresse;20;13.9;2661;36;211
01267;Nurieux-Volognat;10;27.3;973;11;62
01268;Murs-et-Gélignieux;3;100;239;2;19
01269;Nantua;18;9.5;3431;42;195
01272;Neuville-les-Dames;10;22.2;1540;18;111
01273;Neuville-sur-Ain;16;11.1;1798;18;96
01274;Les Neyrolles;11;25;623;4;32
01275;Neyron;20;10.5;2479;38;331
01276;Niévroz;24;0;1648;21;119
01277;Nivollet-Montgriffon;1;N/A - résultat non disponible;119;N/A - résultat non disponible;4
01279;Oncieu;0;N/A - résultat non disponible;72;N/A - résultat non disponible;5
01280;Ordonnaz;1;N/A - résultat non disponible;146;N/A - résultat non disponible;13
01281;Ornex;4;8.3;4903;48;170
01282;Outriaz;1;0;258;2;10
01283;Oyonnax;188;14.7;22378;285;1539
01284;Ozan;6;9.1;721;11;45
01285;Parcieux;4;15.4;1317;13;92
01286;Parves et Nattages;10;10;943;10;69
01288;Péron;8;9.1;2900;22;122
01289;Péronnas;28;8.9;6437;79;476
01290;Pérouges;12;23.1;1382;13;119
01291;Perrex;6;17.6;861;17;45
01293;Peyriat;1;0;150;3;9
01294;Peyrieu;4;28.6;918;7;38
01295;Peyzieux-sur-Saône;3;0;656;5;32
01296;Pirajoux;3;0;400;5;22
01297;Pizay;5;8.3;922;12;53
01298;Plagne;0;0;166;2;13
01299;Le Plantay;1;12.5;569;8;48
01301;Polliat;23;12;2694;25;190
01302;Pollieu;0;0;167;2;10
01303;Poncin;8;8.3;1766;24;127
01304;Pont-d'Ain;15;17.2;2862;29;213
01305;Pont-de-Vaux;20;8.7;2184;23;227
01306;Pont-de-Veyle;5;10.5;1600;19;92
01307;Port;16;22.2;843;9;81
01308;Pougny;5;14.3;792;7;18
01309;Pouillat;1;N/A - résultat non disponible;79;N/A - résultat non disponible;6
01310;Prémeyzel;0;33.3;245;3;4
01311;Prémillieu;1;N/A - résultat non disponible;47;N/A - résultat non disponible;6
01313;Prévessin-Moëns;17;3.1;9081;96;369
01314;Priay;10;20;1803;15;129
01317;Ramasse;3;0;332;4;15
01318;Rancé;7;60;760;5;60
01319;Relevant;2;0;467;2;31
01320;Replonges;15;13.8;3929;58;279
01321;Revonnas;3;15.4;905;13;44
01322;Reyrieux;24;13.6;5228;88;429
01323;Reyssouze;5;6.7;1003;15;66
01325;Rignieux-le-Franc;10;25;1131;12;61
01328;Romans;5;12.5;628;8;33
01329;Rossillon;2;0;164;5;11
01330;Ruffieu;0;0;174;5;22
01331;Saint-Alban;3;0;195;1;14
01332;Saint-André-de-Bâgé;6;0;819;13;41
01333;Saint-André-de-Corcy;31;16.7;3369;54;333
01334;Saint-André-d'Huiriat;5;20;671;5;37
01335;Saint-André-le-Bouchoux;1;20;427;5;22
01336;Saint-André-sur-Vieux-Jonc;3;7.7;1216;13;59
01337;Saint-Bénigne;6;10;1351;10;68
01338;Groslée-Saint-Benoit;15;0;1232;15;83
01339;Saint-Bernard;7;18.5;1544;27;127
01342;Sainte-Croix;7;0;548;7;37
01343;Saint-Cyr-sur-Menthon;11;15.8;1867;19;120
01344;Saint-Denis-lès-Bourg;16;7.6;6078;79;419
01345;Saint-Denis-en-Bugey;9;0;2258;22;130
01346;Saint-Didier-d'Aussiat;2;0;845;4;40
01347;Saint-Didier-de-Formans;10;6.9;2176;29;160
01348;Saint-Didier-sur-Chalaronne;26;15.8;2969;38;244
01349;Saint-Éloi;2;8.3;524;12;35
01350;Saint-Étienne-du-Bois;9;5;2569;20;142
01351;Saint-Étienne-sur-Chalaronne;9;0;1625;12;107
01352;Saint-Étienne-sur-Reyssouze;6;40;576;5;29
01353;Sainte-Euphémie;9;8.7;1741;23;122
01354;Saint-Genis-Pouilly;39;10.8;14584;157;669
01355;Saint-Genis-sur-Menthon;2;0;488;3;23
01356;Saint-Georges-sur-Renon;0;0;214;1;9
01357;Saint-Germain-de-Joux;1;16.7;505;6;19
01358;Saint-Germain-les-Paroisses;2;0;423;1;14
01359;Saint-Germain-sur-Renon;0;33.3;262;6;12
01360;Saint-Jean-de-Gonville;8;6.2;2042;16;88
01361;Saint-Jean-de-Niost;9;4.3;1862;23;121
01362;Saint-Jean-de-Thurigneux;5;0;850;10;78
01363;Saint-Jean-le-Vieux;8;6.9;1799;29;138
01364;Saint-Jean-sur-Reyssouze;3;0;764;8;34
01365;Saint-Jean-sur-Veyle;5;20;1154;10;61
01366;Sainte-Julie;3;23.1;1092;13;50
01367;Saint-Julien-sur-Reyssouze;4;16.7;687;6;43
01368;Saint-Julien-sur-Veyle;5;0;853;5;58
01369;Saint-Just;4;5.9;953;17;57
01370;Saint-Laurent-sur-Saône;1;7.4;1735;27;120
01371;Saint-Marcel;4;13.3;1300;15;60
01372;Saint-Martin-de-Bavel;2;0;431;5;33
01373;Saint-Martin-du-Frêne;16;10;1027;10;95
01374;Saint-Martin-du-Mont;14;14.8;1953;27;132
01375;Saint-Martin-le-Châtel;3;25;784;4;35
01376;Saint-Maurice-de-Beynost;23;5.3;4243;57;285
01378;Saint-Maurice-de-Gourdans;15;10.3;2826;29;191
01379;Saint-Maurice-de-Rémens;3;38.5;758;13;39
01380;Saint-Nizier-le-Bouchoux;7;0;589;8;42
01381;Saint-Nizier-le-Désert;4;6.2;922;16;61
01382;Sainte-Olive;3;50;357;2;27
01383;Saint-Paul-de-Varax;8;5.6;1637;18;75
01384;Saint-Rambert-en-Bugey;13;13.2;2179;38;153
01385;Saint-Rémy;4;12.5;922;8;55
01386;Saint-Sorlin-en-Bugey;4;9.1;1140;11;68
01387;Saint-Sulpice;1;50;259;2;16
01388;Saint-Trivier-de-Courtes;7;25;1122;12;77
01389;Saint-Trivier-sur-Moignans;12;11.1;1910;27;160
01390;Saint-Vulbas;25;9.5;1229;21;163
01391;Salavre;2;33.3;295;3;22
01392;Samognat;4;0;645;9;29
01393;Sandrans;1;22.2;578;9;33
01396;Sault-Brénaz;4;8.3;1007;12;55
01397;Sauverny;4;12.5;1003;8;38
01398;Savigneux;7;10.5;1459;19;118
01399;Ségny;5;6.9;2676;29;101
01400;Seillonnaz;2;0;136;3;11
01401;Sergy;3;5.9;2279;17;76
01402;Sermoyer;1;12.5;659;8;28
01403;Serrières-de-Briord;6;6.7;1329;15;86
01404;Serrières-sur-Ain;0;0;135;3;4
01405;Servas;10;0;1287;14;68
01406;Servignat;1;100;180;1;11
01407;Seyssel;4;10;997;10;69
01408;Simandre-sur-Suran;7;0;664;7;38
01410;Sonthonnax-la-Montagne;2;0;287;3;20
01411;Souclin;0;0;263;6;12
01412;Sulignat;3;0;605;8;23
01415;Talissieu;1;0;514;3;28
01416;Tenay;6;12.5;1024;8;53
01418;Thil;7;10;1208;20;82
01419;Thoiry;10;5.4;6356;74;314
01420;Thoissey;7;5.3;1644;19;114
01421;Torcieu;11;0;744;10;51
01422;Tossiat;13;18.2;1389;11;120
01423;Toussieux;7;10;1228;10;72
01424;Tramoyes;9;7.4;1845;27;133
01425;La Tranclière;0;0;288;1;19
01426;Val-Revermont;21;3.7;2494;27;166
01427;Trévoux;58;9.9;6931;101;598
01428;Valeins;1;0;131;1;11
01429;Vandeins;4;0;725;7;34
01430;Varambon;1;0;664;7;41
01431;Vaux-en-Bugey;10;11.1;1218;9;86
01432;Verjon;1;0;343;3;20
01433;Vernoux;0;14.3;296;7;10
01434;Versailleux;2;0;500;6;32
01435;Versonnex;5;0;2222;17;94
01436;Vesancy;1;0;513;3;24
01437;Vescours;0;N/A - résultat non disponible;215;N/A - résultat non disponible;8
01439;Vésines;0;33.3;97;3;9
01441;Vieu-d'Izenave;9;0;727;10;50
01443;Villars-les-Dombes;20;12.1;5059;66;380
01444;Villebois;6;5.9;1200;17;65
01445;Villemotier;2;0;607;11;31
01446;Villeneuve;7;13.6;1603;22;120
01447;Villereversure;10;22.2;1391;9;72
01448;Villes;3;0;390;7;12
01449;Villette-sur-Ain;4;7.7;763;13;59
01450;Villieu-Loyes-Mollon;25;15.6;3831;45;253
01451;Viriat;31;12;6955;75;567
01452;Virieu-le-Grand;6;16.7;1110;12;81
01453;Arvière-en-Valromey;5;37.5;715;8;48
01454;Virignin;7;20;1122;15;86
01456;Vongnes;1;N/A - résultat non disponible;71;N/A - résultat non disponible;9
01457;Vonnas;25;6.2;3233;32;216
02001;Abbécourt;0;0;513;6;20
02002;Achery;3;12.5;586;8;27
02003;Acy;3;0;1013;9;25
02004;Agnicourt-et-Séchelles;0;33.3;188;3;7
02005;Aguilcourt;1;50;405;6;15
02006;Aisonville-et-Bernoville;1;N/A - résultat non disponible;257;N/A - résultat non disponible;18
02007;Aizelles;1;N/A - résultat non disponible;119;N/A - résultat non disponible;12
02008;Aizy-Jouy;1;0;308;3;14
02009;Alaincourt;4;0;522;3;16
02010;Allemant;0;0;166;2;8
02011;Ambleny;9;10.5;1203;19;57
02012;Ambrief;1;N/A - résultat non disponible;81;N/A - résultat non disponible;10
02013;Amifontaine;1;0;386;4;23
02014;Amigny-Rouy;1;20;710;10;32
02015;Ancienville;1;0;78;2;7
02016;Andelain;0;33.3;211;3;6
02017;Anguilcourt-le-Sart;1;0;281;6;13
02018;Anizy-le-Grand;8;6.7;2510;15;97
02019;Annois;2;N/A - résultat non disponible;352;N/A - résultat non disponible;20
02020;Any-Martin-Rieux;2;16.7;455;6;25
02021;Archon;0;N/A - résultat non disponible;77;N/A - résultat non disponible;4
02022;Arcy-Sainte-Restitue;2;25;398;4;24
02023;Armentières-sur-Ourcq;0;N/A - résultat non disponible;98;N/A - résultat non disponible;4
02024;Arrancy;0;N/A - résultat non disponible;45;N/A - résultat non disponible;2
02025;Artemps;0;33.3;363;3;11
02027;Assis-sur-Serre;3;20;203;5;11
02028;Athies-sous-Laon;10;11.8;2600;17;86
02029;Attilly;1;0;345;2;11
02030;Aubencheul-aux-Bois;5;40;243;5;13
02031;Aubenton;3;0;659;10;33
02032;Aubigny-aux-Kaisnes;1;0;239;2;11
02033;Aubigny-en-Laonnois;2;0;101;2;6
02034;Audignicourt;0;0;110;1;3
02035;Audigny;1;0;282;2;15
02036;Augy;1;N/A - résultat non disponible;68;N/A - résultat non disponible;2
02037;Aulnois-sous-Laon;5;12.5;1366;8;35
02038;Les Autels;0;0;63;1;2
02039;Autremencourt;1;N/A - résultat non disponible;175;N/A - résultat non disponible;7
02040;Autreppes;0;N/A - résultat non disponible;176;N/A - résultat non disponible;4
02041;Autreville;1;0;791;4;42
02042;Azy-sur-Marne;1;0;370;2;19
02043;Bagneux;0;0;62;1;1
02044;Bancigny;0;N/A - résultat non disponible;25;N/A - résultat non disponible;2
02046;Barenton-Bugny;1;0;556;2;17
02047;Barenton-Cel;0;0;108;3;3
02048;Barenton-sur-Serre;0;0;128;1;4
02049;Barisis-aux-Bois;3;0;746;9;24
02050;Barzy-en-Thiérache;1;N/A - résultat non disponible;317;N/A - résultat non disponible;10
02051;Barzy-sur-Marne;1;0;399;4;19
02052;Bassoles-Aulers;3;50;130;2;8
02053;Vallées en Champagne;4;14.3;590;7;31
02054;Bazoches-et-Saint-Thibaut;2;0;517;2;23
02055;Beaumé;1;N/A - résultat non disponible;84;N/A - résultat non disponible;2
02056;Beaumont-en-Beine;0;0;172;1;7
02057;Beaurevoir;10;27.3;1324;11;58
02058;Beaurieux;7;20;813;5;68
02059;Beautor;15;0;2625;14;77
02060;Beauvois-en-Vermandois;1;33.3;257;6;9
02061;Becquigny;0;0;263;1;11
02062;Belleau;0;0;133;1;5
02063;Bellenglise;1;16.7;379;6;25
02064;Belleu;10;20;3624;25;131
02065;Bellicourt;4;0;561;3;20
02066;Benay;1;N/A - résultat non disponible;188;N/A - résultat non disponible;7
02067;Bergues-sur-Sambre;2;0;206;1;5
02068;Berlancourt;0;0;81;2;2
02069;Berlise;0;0;104;1;3
02070;Bernot;2;0;434;2;16
02071;Berny-Rivière;1;9.1;633;11;36
02072;Berrieux;0;33.3;177;3;6
02073;Berry-au-Bac;2;22.2;720;9;22
02074;Bertaucourt-Epourdon;2;9.1;586;11;16
02075;Berthenicourt;0;N/A - résultat non disponible;198;N/A - résultat non disponible;10
02076;Bertricourt;2;N/A - résultat non disponible;154;N/A - résultat non disponible;11
02078;Besmé;0;N/A - résultat non disponible;166;N/A - résultat non disponible;3
02079;Besmont;0;N/A - résultat non disponible;137;N/A - résultat non disponible;4
02080;Besny-et-Loizy;2;0;314;1;15
02081;Béthancourt-en-Vaux;3;33.3;425;3;17
02082;Beugneux;2;0;117;2;7
02083;Beuvardes;3;16.7;741;6;35
02084;Bézu-le-Guéry;2;0;250;2;12
02085;Bézu-Saint-Germain;5;0;991;13;48
02086;Bichancourt;5;75;989;4;33
02087;Bieuxy;0;N/A - résultat non disponible;34;N/A - résultat non disponible;0
02088;Bièvres;0;0;80;1;0
02089;Billy-sur-Aisne;3;6.7;1141;15;52
02090;Billy-sur-Ourcq;1;100;195;1;8
02091;Blanzy-lès-Fismes;1;0;91;2;6
02093;Blérancourt;5;6.7;1212;15;72
02094;Blesmes;1;0;473;11;33
02095;Bohain-en-Vermandois;19;10.6;5724;47;212
02096;Bois-lès-Pargny;1;N/A - résultat non disponible;188;N/A - résultat non disponible;11
02097;Boncourt;0;0;270;4;20
02098;Bonneil;2;0;376;1;16
02099;Bonnesvalyn;0;20;207;5;17
02100;Bony;1;0;139;1;8
02101;Bosmont-sur-Serre;1;N/A - résultat non disponible;171;N/A - résultat non disponible;12
02102;Bouconville-Vauclair;0;0;184;4;13
02103;Boué;4;12.5;1316;8;44
02104;Bouffignereux;1;0;95;3;9
02105;Bouresches;0;0;187;1;14
02106;Bourg-et-Comin;2;8.3;809;12;36
02107;Bourguignon-sous-Coucy;0;0;104;1;2
02108;Bourguignon-sous-Montbavin;0;0;146;1;4
02109;La Bouteille;2;0;468;4;16
02110;Braine;16;8.3;2243;12;111
02111;Brancourt-en-Laonnois;1;0;710;7;18
02112;Brancourt-le-Grand;2;0;558;3;23
02114;Brasles;8;5.6;1711;18;87
02115;Braye-en-Laonnois;0;50;189;4;3
02116;Braye-en-Thiérache;4;0;133;2;5
02117;Bray-Saint-Christophe;1;N/A - résultat non disponible;65;N/A - résultat non disponible;1
02118;Braye;0;N/A - résultat non disponible;130;N/A - résultat non disponible;3
02119;Brécy;1;0;317;2;16
02120;Brenelle;2;N/A - résultat non disponible;194;N/A - résultat non disponible;4
02121;Breny;0;50;219;2;5
02122;Brie;0;100;54;1;3
02123;Brissay-Choigny;4;0;297;3;20
02124;Brissy-Hamégicourt;4;0;653;2;24
02125;Brumetz;1;0;179;2;16
02126;Brunehamel;3;0;458;3;31
02127;Bruyères-sur-Fère;0;N/A - résultat non disponible;195;N/A - résultat non disponible;13
02128;Bruyères-et-Montbérault;7;14.3;1419;14;95
02129;Bruys;0;0;19;1;3
02130;Bucilly;0;0;202;1;1
02131;Bucy-le-Long;12;6.7;1915;15;77
02132;Bucy-lès-Cerny;0;N/A - résultat non disponible;188;N/A - résultat non disponible;14
02133;Bucy-lès-Pierrepont;0;50;406;2;15
02134;Buire;3;66.7;822;3;37
02135;Buironfosse;6;0;1125;10;56
02136;Burelles;0;0;123;1;7
02137;Bussiares;0;0;131;1;6
02138;Buzancy;1;0;183;1;8
02139;Caillouël-Crépigny;1;0;459;1;16
02140;Camelin;1;0;436;1;12
02141;La Capelle;5;21.1;1757;19;84
02142;Castres;0;0;247;1;6
02143;Le Catelet;1;N/A - résultat non disponible;185;N/A - résultat non disponible;10
02144;Caulaincourt;0;0;144;1;9
02145;Caumont;1;28.6;546;7;19
02146;Celles-lès-Condé;1;N/A - résultat non disponible;94;N/A - résultat non disponible;7
02148;Celles-sur-Aisne;1;100;252;1;12
02149;Cerizy;2;0;59;1;4
02150;Cerny-en-Laonnois;0;N/A - résultat non disponible;63;N/A - résultat non disponible;2
02151;Cerny-lès-Bucy;0;0;113;1;11
02152;Cerseuil;0;N/A - résultat non disponible;88;N/A - résultat non disponible;4
02153;Cessières-Suzy;3;0;796;2;25
02154;Chacrise;1;20;367;5;23
02155;Chaillevois;1;0;197;2;4
02156;Chalandry;2;0;242;3;9
02157;Chambry;1;0;831;6;67
02158;Chamouille;1;33.3;270;3;109
02159;Champs;1;50;311;2;9
02160;Chaourse;2;50;497;2;22
02162;La Chapelle-sur-Chézy;2;0;299;2;12
02163;Charly-sur-Marne;12;4;2584;25;171
02164;Le Charmel;1;33.3;324;3;14
02165;Charmes;9;6.7;1596;15;63
02166;Chartèves;1;0;358;5;14
02167;Chassemy;8;20;898;5;33
02168;Château-Thierry;59;4.1;15068;197;960
02169;Châtillon-lès-Sons;2;0;83;1;4
02170;Châtillon-sur-Oise;0;N/A - résultat non disponible;125;N/A - résultat non disponible;4
02171;Chaudardes;1;N/A - résultat non disponible;91;N/A - résultat non disponible;5
02172;Chaudun;2;0;244;2;19
02173;Chauny;56;12.6;11456;95;653
02174;Chavignon;5;0;852;8;37
02175;Chavigny;1;N/A - résultat non disponible;159;N/A - résultat non disponible;5
02176;Chavonne;0;50;210;2;9
02177;Chérêt;2;0;146;2;6
