Insee - Statistiques locales; ; ; ; ; 
Référentiel géographique : France par commune; ; ; ; ; 
Code;Libellé;Unités légales (en nombre) 2021;Population municipale 2022;Densité de population (historique depuis 1876) 2021;Part construction dans les créations d'ent. 2023
24548;Teyjat;23;279;16.3;0
24549;Thénac;43;443;22.7;0
24550;Thenon;120;1267;48.5;0
24551;Thiviers;283;2889;103.2;0
24552;Thonac;32;268;22.5;10
24553;Tocane-Saint-Apre;134;1757;53.9;18.2
24554;La Tour-Blanche-Cercles;58;549;23.9;0
24555;Tourtoirac;57;638;25;0
24557;Trélissac;513;7319;317.7;8.3
24558;Trémolat;49;629;44.6;20
24559;Tursac;43;339;18.7;11.1
24560;Urval;16;115;8.4;0
24562;Vallereuil;15;261;28.7;0
24563;Valojoulx;28;286;24.1;0
24564;Vanxains;61;692;19.2;11.1
24565;Varaignes;39;357;21.8;0
24566;Varennes;18;460;114.1;20
24567;Vaunac;14;240;17.8;0
24568;Vélines;98;1058;100.5;10
24569;Vendoire;23;135;11.3;N/A - résultat non disponible
24570;Verdon;3;36;7.5;0
24571;Vergt;186;1750;53.2;0
24572;Vergt-de-Biron;19;188;11.7;0
24573;Verteillac;72;546;29.8;11.1
24574;Veyrignac;20;325;34.7;0
24575;Veyrines-de-Domme;19;235;20.5;33.3
24576;Veyrines-de-Vergt;26;247;20.7;0
24577;Vézac;80;512;39.4;0
24580;Villac;15;285;13.3;0
24581;Villamblard;78;870;43.5;0
24582;Villars;39;464;16.5;25
24584;Villefranche-de-Lonchat;69;956;64;0
24585;Villefranche-du-Périgord;81;671;27.2;28.6
24586;Villetoureix;72;893;55;0
24587;Vitrac;97;857;58.3;0
25001;Abbans-Dessous;11;247;76.9;0
25002;Abbans-Dessus;14;283;65.5;0
25003;Abbenans;13;321;28.6;0
25004;Abbévillers;35;1099;97.5;14.3
25005;Accolans;6;88;17;N/A - résultat non disponible
25006;Adam-lès-Passavant;6;88;9.2;N/A - résultat non disponible
25007;Adam-lès-Vercel;4;103;32.9;N/A - résultat non disponible
25008;Aibre;20;449;103.1;0
25009;Aïssey;9;165;15.3;N/A - résultat non disponible
25011;Allenjoie;39;735;112.5;0
25012;Les Alliés;7;171;32.4;0
25013;Allondans;13;237;47.7;0
25014;Amagney;46;937;71.7;8.3
25015;Amancey;72;731;52.2;0
25016;Amathay-Vésigneux;7;173;14;50
25017;Amondans;5;86;15.5;100
25018;Anteuil;36;600;24.9;0
25019;Appenans;15;385;94.3;0
25020;Arbouans;47;891;680.3;0
25021;Arc-et-Senans;119;1621;108.1;0
25022;Arcey;73;1491;118.1;0
25024;Arçon;58;955;43.9;11.1
25025;Arc-sous-Cicon;40;751;25.8;0
25026;Arc-sous-Montenot;10;228;21;0
25029;Aubonne;14;260;16.5;0
25030;Audeux;24;422;242.9;0
25031;Audincourt;775;14009;1591.8;8.8
25032;Autechaux;45;431;65.1;0
25033;Autechaux-Roide;20;497;77.3;33.3
25035;Les Auxons;145;2522;274;10.3
25036;Avanne-Aveney;118;2237;259.3;12
25038;Avilley;14;153;27.9;0
25039;Avoudrey;48;954;73.2;22.2
25040;Badevel;36;808;214.7;12.5
25041;Bannans;26;378;31.8;0
25042;Le Barboux;12;238;20;0
25043;Bart;134;2015;523.4;4.3
25044;Bartherans;4;60;10.2;N/A - résultat non disponible
25045;Battenans-les-Mines;3;42;16.2;N/A - résultat non disponible
25046;Battenans-Varin;4;79;12.1;N/A - résultat non disponible
25047;Baume-les-Dames;401;5064;201.3;6.5
25048;Bavans;142;3566;406;3.3
25049;Belfays;4;131;42.2;0
25050;Le Bélieu;45;512;47.4;50
25051;Belleherbe;54;626;38.5;14.3
25052;Belmont;1;75;14.8;N/A - résultat non disponible
25053;Belvoir;8;90;9.9;0
25054;Berche;13;543;174;0
25055;Berthelange;14;358;88.7;0
25056;Besançon;8262;120057;1832.4;6.9
25057;Bethoncourt;149;5288;811.6;15.3
25058;Beure;170;1342;345.9;12
25059;Beutal;13;269;46.2;50
25060;Val-d'Usiers;126;2128;41.5;12
25061;Bief;4;111;29.9;0
25062;Le Bizot;14;304;38.2;0
25063;Blamont;45;1236;121.7;0
25065;Blarians;1;55;60.7;0
25066;Blussangeaux;1;78;38.7;N/A - résultat non disponible
25067;Blussans;10;188;23.6;0
25070;Bolandoz;17;379;30.6;0
25071;Bondeval;16;481;102.4;0
25072;Bonnal;2;19;11.1;0
25073;Bonnay;37;828;108.4;0
25074;Bonnétage;56;1001;56.1;0
25075;Bonnevaux;16;420;24.9;12.5
25077;La Bosse;3;86;15.6;N/A - résultat non disponible
25078;Bouclans;60;1057;43.5;10
25079;Boujailles;25;459;16;0
25082;Bourguignon;37;880;159;0
25083;Bournois;8;189;18.1;50
25084;Boussières;78;1200;212.9;15.4
25085;Bouverans;18;441;23.1;14.3
25086;Braillans;12;205;105.6;0
25087;Branne;5;181;28.2;N/A - résultat non disponible
25088;Breconchaux;1;87;26.4;N/A - résultat non disponible
25089;Bremondans;4;102;14;0
25090;Brères;4;75;33.5;50
25091;Les Bréseux;19;487;65.1;0
25092;La Bretenière;11;70;16.8;0
25093;Bretigney;3;76;41.5;N/A - résultat non disponible
25094;Bretigney-Notre-Dame;4;119;21.4;0
25095;Bretonvillers;23;285;21.2;0
25096;Brey-et-Maison-du-Bois;14;179;27.7;0
25097;Brognard;40;477;164.1;0
25098;Buffard;11;190;23.8;0
25099;Bugny;11;248;50.1;50
25100;Bulle;41;500;35.2;11.1
25101;Burgille;21;568;61.7;0
25102;Burnevillers;3;48;7.3;N/A - résultat non disponible
25103;Busy;27;675;127.3;9.1
25104;By;9;83;11.7;N/A - résultat non disponible
25105;Byans-sur-Doubs;35;619;63;0
25106;Cademène;5;66;19.8;N/A - résultat non disponible
25107;Cendrey;8;200;35.7;0
25108;Cernay-l'Église;19;318;52.9;0
25109;Cessey;20;321;42.8;0
25110;Chaffois;45;1032;63.4;16.7
25111;Chalèze;18;375;66.4;50
25112;Chalezeule;118;1326;337.3;13.8
25113;Chamesey;14;139;21.8;0
25114;Chamesol;12;386;37.8;0
25115;Champagney;23;271;91;0
25116;Champlive;7;250;30;0
25117;Champoux;10;90;30.2;N/A - résultat non disponible
25119;Champvans-les-Moulins;14;317;126.2;33.3
25120;Chantrans;22;385;27.3;33.3
25121;Chapelle-des-Bois;38;259;6.6;0
25122;Chapelle-d'Huin;22;534;22.4;0
25124;Charmauvillers;8;283;26.7;0
25125;Charmoille;9;319;31.8;0
25126;Charnay;33;471;83.7;37.5
25127;Charquemont;137;2867;132.2;4.2
25129;Chassagne-Saint-Denis;7;129;13;N/A - résultat non disponible
25130;Châteauvieux-les-Fossés;0;9;2.2;N/A - résultat non disponible
25131;Châtelblanc;7;110;5.2;0
25132;Châtillon-Guyotte;10;141;31.5;N/A - résultat non disponible
25133;Châtillon-le-Duc;230;2025;322.7;3.8
25136;Chaucenne;30;513;105.9;0
25138;Les Terres-de-Chaux;14;130;8.6;0
25139;La Chaux;21;611;36;40
25141;Chaux-lès-Passavant;4;121;14.3;N/A - résultat non disponible
25142;Chaux-Neuve;23;333;11.6;0
25143;Chay;9;197;30.7;0
25145;Chazot;2;117;21.9;N/A - résultat non disponible
25147;Chemaudin et Vaux;199;2114;169.9;6.5
25148;La Chenalotte;13;532;105.5;50
25149;Chenecey-Buillon;32;496;30.3;0
25150;Chevigney-sur-l'Ognon;7;294;63.3;0
25151;Chevigney-lès-Vercel;5;140;25.7;0
25152;La Chevillotte;15;143;19.8;0
25153;Chevroz;10;140;68.7;0
25154;Chouzelot;21;253;40.2;20
25155;Cléron;32;292;20.3;0
25156;Pays-de-Clerval;75;1161;50.8;22.2
25157;La Cluse-et-Mijoux;113;1317;58.8;8.3
25159;Colombier-Fontaine;71;1215;156;11.8
25160;Les Combes;43;770;43.6;0
25161;Consolation-Maisonnettes;1;24;5.8;N/A - résultat non disponible
25162;Corcelles-Ferrières;9;214;94.7;N/A - résultat non disponible
25163;Corcelle-Mieslot;7;94;15.6;0
25164;Corcondray;10;146;27;0
25166;Côtebrune;6;82;27;0
25170;Courcelles-lès-Montbéliard;59;1387;585.4;15.4
25171;Courcelles;6;105;29.6;N/A - résultat non disponible
25172;Courchapon;8;242;44.4;0
25173;Cour-Saint-Maurice;11;148;33.1;0
25174;Courtefontaine;8;247;32.1;0
25175;Courtetain-et-Salans;3;91;13.3;100
25176;Courvières;17;319;29.3;0
25177;Crosey-le-Grand;14;148;14;N/A - résultat non disponible
25178;Crosey-le-Petit;2;121;12.7;N/A - résultat non disponible
25179;Le Crouzet;3;56;16.2;N/A - résultat non disponible
25180;Crouzet-Migette;6;117;20.5;0
25181;Cubrial;10;148;25.2;100
25182;Cubry;9;102;18.3;33.3
25183;Cusance;5;76;19.1;0
25184;Cuse-et-Adrisans;22;280;52.6;50
25185;Cussey-sur-Lison;9;68;8;0
25186;Cussey-sur-l'Ognon;51;1049;139.9;0
25187;Dambelin;24;506;40.3;0
25188;Dambenois;23;727;225;0
25189;Dammartin-les-Templiers;5;207;19.7;0
25190;Dampierre-les-Bois;89;1565;334.1;0
25191;Dampierre-sur-le-Doubs;13;452;143.4;25
25192;Dampjoux;4;164;72.3;N/A - résultat non disponible
25193;Damprichard;98;1825;83.5;4.3
25194;Dannemarie;0;120;52.4;50
25195;Dannemarie-sur-Crète;96;1503;381.5;6.2
25196;Dasle;66;1370;243.2;0
25197;Deluz;26;627;77.6;0
25198;Désandans;26;717;130.9;14.3
25199;Déservillers;13;336;24.4;50
25200;Devecey;208;1314;351.6;7.7
25201;Dommartin;53;819;123.5;11.1
25202;Dompierre-les-Tilleuls;12;291;23.1;0
25203;Domprel;13;173;18.9;0
25204;Doubs;220;3309;366;8.6
25207;Dung;30;621;190.4;66.7
25208;Durnes;13;198;22.4;50
25209;Échay;5;115;21.9;0
25210;Échenans;12;163;95.9;N/A - résultat non disponible
25211;Échevannes;5;87;16.6;N/A - résultat non disponible
25212;École-Valentin;397;2620;826.7;13.8
25213;Les Écorces;31;766;79.5;33.3
25214;Écot;21;497;44.6;0
25215;L'Écouvotte;3;97;42.6;50
25216;Écurcey;9;266;35.4;0
25217;Émagny;48;620;118.8;0
25218;Épenouse;11;167;29;0
25219;Épenoy;22;643;48.3;0
25220;Épeugney;33;599;43.5;20
25221;Esnans;5;65;17.2;N/A - résultat non disponible
25222;Étalans;110;1648;39.6;5.9
25223;Éternoz;13;325;11.1;0
25224;Étouvans;23;824;126.2;16.7
25225;Étrabonne;7;184;33.7;0
25226;Étrappe;9;204;71.6;0
25227;Étray;17;290;48;0
25228;Étupes;251;3711;376.4;14
25229;Évillers;12;390;30.2;25
25230;Exincourt;211;3273;940.6;6.1
25231;Eysson;8;123;20;60
25232;Faimbe;7;100;49.7;0
25233;Fallerans;15;294;26.4;25
25234;Ferrières-le-Lac;5;168;68.4;N/A - résultat non disponible
25235;Ferrières-les-Bois;15;326;77.5;20
25236;Fertans;25;314;37.7;25
25237;Fesches-le-Châtel;79;2147;625.4;5.6
25238;Fessevillers;4;159;26;0
25239;Feule;8;189;49.2;0
25240;Les Fins;226;3062;122.4;4.3
25241;Flagey;36;132;17.6;50
25242;Flagey-Rigney;7;133;42.2;0
25243;Flangebouche;31;833;35.5;0
25244;Fleurey;5;85;10.6;N/A - résultat non disponible
25245;Fontain;90;1200;57;0
25246;Fontaine-lès-Clerval;17;259;23;N/A - résultat non disponible
25247;Fontenelle-Montby;4;81;12.3;N/A - résultat non disponible
25248;Les Fontenelles;29;538;62.8;20
25249;Fontenotte;4;63;11;N/A - résultat non disponible
25251;Fourbanne;17;161;85.3;0
25252;Fourcatier-et-Maison-Neuve;6;124;43.3;0
25253;Fourg;15;373;31.4;0
25254;Les Fourgs;68;1429;50.5;9.1
25255;Fournet-Blancheroche;21;351;26.8;0
25256;Frambouhans;41;878;88;0
25257;Franey;10;267;79;20
25258;Franois;147;2250;310;2.9
25259;Frasne;134;1958;59.1;7.4
25261;Froidevaux;2;80;20.1;N/A - résultat non disponible
25262;Fuans;29;472;42.1;0
25263;Gellin;10;264;54;0
25264;Gémonval;4;82;24.5;0
25265;Geneuille;88;1264;198.8;13.3
25266;Geney;6;125;28.2;0
25267;Gennes;34;676;94.7;0
25268;Germéfontaine;4;117;10.1;0
25269;Germondans;2;59;17;N/A - résultat non disponible
25270;Gevresin;3;153;20.5;0
25271;Gilley;95;1805;102.3;15
25273;Glamondans;5;196;20.4;50
25274;Glay;10;340;52.2;N/A - résultat non disponible
25275;Glère;5;180;11.6;N/A - résultat non disponible
25276;Gondenans-Montby;8;163;14.1;0
25277;Gondenans-les-Moulins;1;83;20.4;N/A - résultat non disponible
25278;Gonsans;45;559;32.6;0
25279;Gouhelans;6;118;19.3;N/A - résultat non disponible
25280;Goumois;10;167;26.2;0
25281;Goux-lès-Dambelin;6;272;30.9;0
25283;Goux-sous-Landet;3;60;11.1;N/A - résultat non disponible
25284;Grand-Charmont;164;5865;1284.4;10.5
25285;Grand'Combe-Châteleu;91;1507;70.2;0
25286;Grand'Combe-des-Bois;5;122;10.3;0
25287;Grandfontaine;95;1810;316.4;0
25288;Fournets-Luisans;47;738;26.5;7.7
25289;Grandfontaine-sur-Creuse;4;73;11.9;0
25290;La Grange;5;97;15.6;0
25293;Granges-Narboz;79;1355;81.6;17.6
25295;Les Grangettes;24;323;57.6;0
25296;Les Gras;39;804;52.7;25
25297;Le Gratteris;5;163;54.2;N/A - résultat non disponible
25298;Grosbois;9;257;85.1;0
25299;Guillon-les-Bains;6;109;23.3;25
25300;Guyans-Durnes;18;317;34.3;20
25301;Guyans-Vennes;42;847;43.5;0
25303;Hauterive-la-Fresse;12;227;30.2;0
25304;Hérimoncourt;120;3530;490.4;4
25305;L'Hôpital-du-Grosbois;36;605;75.5;37.5
25306;L'Hôpital-Saint-Lieffroy;11;122;35.9;N/A - résultat non disponible
25307;Les Hôpitaux-Neufs;61;947;141.3;0
25308;Les Hôpitaux-Vieux;19;463;32.6;0
25309;Houtaud;102;1197;149.3;12.5
25310;Huanne-Montmartin;6;105;29.7;0
25311;Hyémondans;8;203;31.1;0
25312;Hyèvre-Magny;2;63;18.8;0
25313;Hyèvre-Paroisse;19;192;22.2;N/A - résultat non disponible
25314;Indevillers;11;248;11.4;N/A - résultat non disponible
25315;L'Isle-sur-le-Doubs;165;2812;265.2;6.1
25316;Issans;5;241;87.9;0
25317;Jallerange;13;277;50.3;0
25318;Jougne;89;1915;64;5
25320;Labergement-Sainte-Marie;94;1257;56.1;16.7
25321;Villers-le-Lac;228;5248;173.3;9.3
25322;Laire;15;410;129.7;33.3
25323;Laissey;15;442;155.6;50
25324;Lanans;16;162;15.9;N/A - résultat non disponible
25325;Landresse;23;238;16.5;33.3
25326;Lantenne-Vertière;21;545;53.4;10
25327;Lanthenans;2;70;20.8;N/A - résultat non disponible
25328;Larnod;40;784;196.3;0
25329;Laval-le-Prieuré;1;33;6.6;N/A - résultat non disponible
25330;Lavans-Quingey;18;182;29.7;0
25331;Lavans-Vuillafans;14;238;24.1;0
25332;Lavernay;20;577;73.1;16.7
25333;Laviron;16;352;17.6;100
25334;Levier;163;2345;51.6;10.5
25335;Liebvillers;9;147;48.8;0
25336;Liesle;30;558;33.6;0
25338;Lizine;3;91;13;0
25339;Lods;15;244;37.4;0
25340;Lombard;11;195;32.6;0
25341;Lomont-sur-Crête;9;171;17.6;N/A - résultat non disponible
25342;Longechaux;4;78;15.2;0
25343;Longemaison;7;163;17;0
25344;Longevelle-lès-Russey;5;40;16.4;0
25345;Longevelle-sur-Doubs;23;653;79.5;0
25346;Longeville;10;180;19.8;N/A - résultat non disponible
25347;La Longeville;40;844;53.4;0
25348;Longevilles-Mont-d'Or;38;615;46.3;0
25349;Loray;30;636;42.7;66.7
25350;Lougres;33;725;121.8;10
25351;Le Luhier;13;243;46.4;0
25354;Luxiol;7;156;24.4;0
25355;Magny-Châtelard;1;64;15;0
25356;Maîche;293;4226;243.6;0
25357;Maisons-du-Bois-Lièvremont;37;846;54.1;0
25359;Malans;4;151;14.7;N/A - résultat non disponible
25360;Malbrans;8;167;20.5;0
25361;Malbuisson;60;883;129.5;12.5
25362;Malpas;17;287;49.5;12.5
25364;Mamirolle;138;1811;156.5;10
25365;Mancenans;10;318;26.3;0
25366;Mancenans-Lizerne;7;184;30.7;0
25367;Mandeure;158;4672;312.7;10.3
25368;Marchaux-Chaudefontaine;77;1429;88.2;5
25369;Marvelise;5;150;36.6;N/A - résultat non disponible
25370;Mathay;123;2131;144.6;5.6
25371;Mazerolles-le-Salin;18;220;52.1;N/A - résultat non disponible
25372;Médière;11;282;48.9;0
25373;Le Mémont;1;45;14.2;N/A - résultat non disponible
25374;Mercey-le-Grand;31;531;82.6;66.7
25375;Les Monts-Ronds;28;669;39;0
25376;Mérey-Vieilley;7;168;46.5;0
25377;Mésandans;16;234;41.2;0
25378;Meslières;9;330;113;N/A - résultat non disponible
25379;Mesmay;8;68;22.5;0
25380;Métabief;124;1395;242.2;4.3
25381;Miserey-Salines;234;2660;427.5;8
25382;Moncey;24;629;123.4;0
25383;Moncley;15;296;35.9;0
25384;Mondon;3;79;18.9;0
25385;Montagney-Servigney;10;123;19.2;0
25386;Montancy;5;119;13.5;0
25387;Montandon;10;372;29.3;0
25388;Montbéliard;1482;25516;1703.7;5.8
25389;Montbéliardot;8;113;29.5;0
25390;Montbenoît;26;399;79.7;0
25391;Mont-de-Laval;9;190;22.2;N/A - résultat non disponible
25392;Mont-de-Vougney;13;195;27.9;N/A - résultat non disponible
25393;Montécheroux;17;557;42;0
25394;Montenois;66;1394;177.7;20
25395;Montfaucon;98;1608;218.2;0
25397;Montferrand-le-Château;131;2191;292.1;16
25398;Montflovin;9;118;35.2;N/A - résultat non disponible
25400;Montgesoye;31;494;44;0
25401;Montivernage;1;28;8.1;0
25402;Montjoie-le-Château;3;22;4.3;N/A - résultat non disponible
25403;Montlebon;113;2227;81;3.4
25404;Montmahoux;11;91;14;N/A - résultat non disponible
25405;Montperreux;65;933;79.7;0
25406;Montrond-le-Château;30;559;51.7;0
25408;Montussaint;0;54;18.1;N/A - résultat non disponible
25410;Morre;68;1321;250.7;11.1
25411;Morteau;450;6905;486.7;1.8
25413;Mouthe;89;1025;26.3;0
25414;Le Moutherot;11;132;99.2;50
25415;Mouthier-Haute-Pierre;30;357;28.9;0
25416;Myon;21;181;11.1;N/A - résultat non disponible
25417;Naisey-les-Granges;45;822;32.2;12.5
25418;Nancray;83;1300;78;0
25419;Nans;4;92;29.1;N/A - résultat non disponible
25420;Nans-sous-Sainte-Anne;14;169;19.3;0
25421;Narbief;4;99;25.9;N/A - résultat non disponible
25422;Neuchâtel-Urtière;6;166;27.1;0
25424;Les Premiers Sapins;103;1576;29.9;16.7
25425;Noël-Cerneux;29;455;71.7;33.3
25426;Noirefontaine;14;325;97.6;0
25427;Noironte;21;401;59;0
25428;Nommay;72;1601;503.4;0
25429;Novillars;45;1345;691.1;0
25430;Ollans;0;40;16.5;N/A - résultat non disponible
25431;Onans;17;366;25.1;0
25432;Orchamps-Vennes;183;2180;87.5;8.7
25433;Orgeans-Blanchefontaine;1;40;8.3;N/A - résultat non disponible
25434;Ornans;318;4421;123.8;16.7
25435;Orsans;10;179;21;0
25436;Orve;5;58;10.2;0
25437;Osse;18;364;43.4;0
25438;Osselle-Routelle;42;956;89.2;0
25439;Ougney-Douvot;14;253;38.6;20
25440;Ouhans;22;393;24.5;N/A - résultat non disponible
25441;Ouvans;3;68;12.9;0
25442;Oye-et-Pallet;57;714;68.9;9.1
25443;Palantine;5;59;15.1;N/A - résultat non disponible
25444;Palise;9;145;67.9;0
25445;Paroy;6;118;27.2;0
25446;Passavant;15;182;12.6;N/A - résultat non disponible
25447;Passonfontaine;17;334;17.3;0
25448;Pelousey;86;1588;252.4;13.6
25449;Péseux;8;136;20.8;0
25450;Pessans;12;90;20.5;0
25451;Petite-Chaux;3;174;16.6;0
25452;Pierrefontaine-lès-Blamont;17;480;53.2;0
25453;Pierrefontaine-les-Varans;101;1361;47.4;0
25454;Pirey;210;2179;322.8;5.4
25455;Placey;9;193;76.7;0
25456;Plaimbois-du-Miroir;5;280;23.6;33.3
25457;Plaimbois-Vennes;4;116;10.9;0
25458;Les Plains-et-Grands-Essarts;12;211;20.4;100
25459;La Planée;18;325;24.4;0
25460;Le Val;6;245;36.5;0
25461;Pompierre-sur-Doubs;7;298;36.8;0
25462;Pontarlier;1337;17928;431.7;10.6
25463;Pont-de-Roide-Vermondans;248;3971;296.8;11.5
25464;Les Pontets;9;137;20.9;0
25465;Pont-les-Moulins;10;207;41.6;N/A - résultat non disponible
25466;Pouilley-Français;38;824;136.8;0
25467;Pouilley-les-Vignes;154;2162;225.1;15.2
25468;Pouligney-Lusans;34;850;72.8;0
25469;Présentevillers;27;468;124.3;100
25470;La Prétière;6;160;58.3;0
25471;Provenchère;12;139;19.9;0
25472;Puessans;2;33;9.2;N/A - résultat non disponible
25473;Pugey;50;686;95.8;25
25474;Le Puy;7;105;31.6;N/A - résultat non disponible
25475;Quingey;110;1313;158.6;0
25476;Rahon;8;136;23.2;0
25477;Rancenay;29;421;112.6;0
25478;Randevillers;9;111;26.8;N/A - résultat non disponible
25479;Rang;23;389;37.6;0
25481;Raynans;13;337;83.9;0
25482;Recologne;45;716;103.4;25
25483;Reculfoz;3;41;14.2;N/A - résultat non disponible
25485;Rémondans-Vaivre;15;206;23.4;0
25486;Remoray-Boujeons;19;456;29.4;11.1
25487;Renédale;2;43;15.6;N/A - résultat non disponible
25488;Rennes-sur-Loue;8;107;19.6;50
25489;Reugney;15;269;33.6;0
25490;Rigney;37;374;39.5;0
25491;Rignosot;4;109;28.8;0
25492;Rillans;5;96;28.1;0
25493;La Rivière-Drugeon;41;927;48.1;16.7
25494;Rochejean;34;748;30;0
25495;Roche-lez-Beaupré;189;2185;392.5;4.3
25496;Roche-lès-Clerval;1;98;18.2;N/A - résultat non disponible
25497;Roches-lès-Blamont;30;611;113.2;0
25498;Rognon;3;47;12;0
25499;Romain;4;119;25.2;N/A - résultat non disponible
25500;Ronchaux;8;97;17.4;0
25501;Rondefontaine;1;38;14;N/A - résultat non disponible
25502;Roset-Fluans;26;578;67.4;0
25503;Rosières-sur-Barbèche;3;110;21.1;0
25504;Rosureux;3;80;13;0
25505;Rougemont;52;1012;55.7;11.1
25506;Rougemontot;3;89;21.2;0
25507;Rouhe;5;82;18.4;0
25508;Roulans;66;1122;135.4;7.7
25510;Ruffey-le-Château;14;366;50.2;20
25511;Rurey;28;359;24.2;0
25512;Le Russey;154;2546;103.5;5
25513;Sainte-Anne;5;52;7.5;0
25514;Saint-Antoine;15;309;71;0
25515;Sainte-Colombe;20;482;44.2;0
25516;Saint-Georges-Armont;2;125;26.4;0
25517;Saint-Gorgon-Main;18;258;33.7;0
25518;Saint-Hilaire;10;155;59.5;0
25519;Saint-Hippolyte;45;965;85.3;8.3
25520;Saint-Juan;10;189;15.3;0
25521;Saint-Julien-lès-Montbéliard;6;158;41.7;0
25522;Saint-Julien-lès-Russey;4;182;18.3;N/A - résultat non disponible
25523;Sainte-Marie;45;655;92.5;0
25524;Saint-Maurice-Colombier;34;889;68;0
25525;Saint-Point-Lac;22;305;66.6;0
25526;Sainte-Suzanne;57;1461;894.3;4.3
25527;Saint-Vit;385;5059;303.3;15
25528;Samson;3;70;35.9;0
25529;Sancey;108;1364;44;13.3
25532;Saône;257;3142;153.2;6.5
25533;Saraz;0;20;3;N/A - résultat non disponible
25534;Sarrageois;16;194;14.5;33.3
25535;Saules;12;232;30.4;0
25536;Sauvagney;4;194;49.1;0
25537;Scey-Maisières;8;289;23;0
25538;Séchin;3;115;106.4;0
25539;Seloncourt;278;5812;730.3;8.7
25540;Semondans;15;306;112.6;0
25541;Septfontaines;24;383;20.6;0
25542;Serre-les-Sapins;155;1921;355.9;3.6
25544;Servin;14;200;20.3;100
25545;Silley-Amancey;12;134;26.9;50
25546;Silley-Bléfond;3;57;14.1;N/A - résultat non disponible
25547;Sochaux;146;3772;1748.8;6.7
25548;Solemont;4;133;16.6;0
25550;La Sommette;9;238;33.2;0
25551;Soulce-Cernay;11;138;16.4;0
25552;Sourans;2;116;27.6;N/A - résultat non disponible
25553;Soye;15;364;27.1;0
25554;Surmont;12;123;16.1;N/A - résultat non disponible
25555;Taillecourt;44;1132;602.7;7.1
25556;Tallans;3;47;11.6;0
25557;Tallenay;26;437;184.6;0
25558;Tarcenay-Foucherans;102;1498;62.7;0
25559;Thiébouhans;12;245;44.8;0
25560;Thise;240;2990;335.9;6.5
25561;Thoraise;11;336;85;16.7
25562;Thulay;10;206;93.7;N/A - résultat non disponible
25563;Thurey-le-Mont;6;116;24.2;N/A - résultat non disponible
25564;Torpes;55;1004;182.3;0
25565;Touillon-et-Loutelet;12;267;57.2;25
25566;La Tour-de-Sçay;13;323;36.2;0
25567;Tournans;9;112;12.4;N/A - résultat non disponible
25569;Trépot;20;558;37.7;37.5
25570;Tressandans;0;28;12;N/A - résultat non disponible
25571;Trévillers;26;532;48.5;0
25572;Trouvans;9;103;37.9;N/A - résultat non disponible
25573;Urtière;3;16;7.4;N/A - résultat non disponible
25574;Uzelle;4;187;15.2;N/A - résultat non disponible
25575;Vaire;38;805;57;22.2
25578;Valdahon;372;5715;224.4;6.9
25579;Val-de-Roulans;11;197;67.9;0
25580;Valentigney;377;10624;1105.2;8
25582;Valleroy;7;144;47.5;50
25583;Valonne;6;265;31.5;0
25584;Valoreille;12;125;16.2;0
25586;Vandoncourt;34;808;95;16.7
25588;Vaucluse;2;117;24;N/A - résultat non disponible
25589;Vauclusotte;4;77;10.4;0
25590;Vaudrivillers;5;78;21.6;N/A - résultat non disponible
25591;Vaufrey;5;147;16;0
25592;Vaux-et-Chantegrue;40;663;45.6;16.7
25594;Velesmes-Essarts;32;363;122.3;0
25595;Vellerot-lès-Belvoir;6;95;15.6;0
25596;Vellerot-lès-Vercel;4;65;14.7;50
25597;Vellevans;8;247;17.8;33.3
25598;Venise;17;518;84.5;33.3
25599;Vennans;13;249;186;0
25600;Vennes;14;243;34.1;14.3
25601;Vercel-Villedieu-le-Camp;109;1732;56.8;23.5
25602;Vergranne;8;117;22.6;N/A - résultat non disponible
25604;Verne;7;124;16;N/A - résultat non disponible
25605;Vernierfontaine;16;485;36.4;0
25607;Vernois-lès-Belvoir;2;51;11.5;0
25608;Le Vernoy;2;180;53.9;N/A - résultat non disponible
25609;Verrières-de-Joux;13;472;47.4;0
25611;La Vèze;36;495;92.2;0
25612;Vieilley;24;667;71.6;16.7
25613;Viéthorey;4;91;11.6;N/A - résultat non disponible
25614;Vieux-Charmont;123;2829;1144.6;6.9
25615;Villars-lès-Blamont;14;467;65.9;0
25616;Villars-Saint-Georges;18;283;55.1;0
25617;Villars-sous-Dampjoux;20;352;114.4;0
25618;Villars-sous-Écot;12;338;30;0
25619;Les Villedieu;10;222;13.9;25
25620;Ville-du-Pont;21;326;21.9;N/A - résultat non disponible
25621;Villeneuve-d'Amont;7;221;15.3;0
25622;Villers-Buzon;11;295;86.8;0
25623;Villers-Chief;7;142;17.5;N/A - résultat non disponible
25624;Villers-Grélot;8;144;20.5;N/A - résultat non disponible
25625;Villers-la-Combe;2;49;8.5;0
25626;Villers-Saint-Martin;10;227;25.2;0
25627;Villers-sous-Chalamont;19;293;13.3;0
25629;Voillans;20;195;19.4;N/A - résultat non disponible
25630;Voires;4;75;15.8;N/A - résultat non disponible
25631;Vorges-les-Pins;41;571;122.1;0
25632;Voujeaucourt;160;3152;331.2;2.9
25633;Vuillafans;45;681;113.8;0
25634;Vuillecin;64;669;46.2;33.3
25635;Vyt-lès-Belvoir;16;183;24.5;100
26001;Solaure en Diois;62;444;22.1;0
26002;Albon;148;1935;76.2;21.1
