Insee - Statistiques locales; ; ; ; ; 
Référentiel géographique : France par commune; ; ; ; ; 
Code;Libellé;Unités légales (en nombre) 2021;Population municipale 2022;Densité de population (historique depuis 1876) 2021;Part construction dans les créations d'ent. 2023
01159;Feillens;248;3388;226.8;11.9
01160;Ferney-Voltaire;712;11530;2284.5;5.7
01162;Flaxieu;9;64;22.9;N/A - résultat non disponible
01163;Foissiat;128;2024;49.9;20
01165;Francheleins;98;1593;116.9;20
01166;Frans;183;2547;311;15.8
01167;Garnerans;48;685;76.8;0
01169;Genouilleux;35;675;159.3;15.4
01170;Béard-Géovreissiat;69;1048;223.5;33.3
01171;Géovreisset;54;843;252.3;0
01173;Gex;576;13455;408.4;7.6
01174;Giron;24;174;18.7;0
01175;Gorrevod;50;782;114.2;0
01177;Grand-Corent;8;186;25.8;0
01179;Grièges;114;1909;127.8;19
01180;Grilly;55;873;115.2;0
01181;Groissiat;115;1216;194.6;4.8
01183;Guéreins;166;1503;331.5;8.7
01184;Hautecourt-Romanèche;47;754;35.1;0
01185;Plateau d'Hauteville;322;4790;45.3;4.5
01187;Haut Valromey;80;603;5.6;7.1
01188;Illiat;44;696;33.8;33.3
01189;Injoux-Génissiat;42;1123;37.9;22.2
01190;Innimond;3;92;6.6;0
01191;Izenave;11;159;11.9;0
01192;Izernore;173;2262;108.7;11.4
01193;Izieu;10;223;28.9;0
01194;Jassans-Riottier;429;6315;1321.2;9.7
01195;Jasseron;112;1900;98.3;9.5
01196;Jayat;81;1276;77.2;0
01197;Journans;20;384;156.4;0
01198;Joyeux;21;262;15.8;0
01199;Jujurieux;124;2209;138;12.5
01200;Labalme;17;207;23.9;0
01202;Lagnieu;426;7321;266.7;7.5
01203;Laiz;72;1292;126;25
01204;Le Poizat-Lalleyriat;46;740;22.5;0
01206;Lantenay;8;265;41;20
01207;Lapeyrouse;23;337;16.3;0
01208;Lavours;9;138;21.6;N/A - résultat non disponible
01209;Léaz;20;887;71.7;12.5
01210;Lélex;48;236;13;0
01211;Lent;79;1459;44.7;8.7
01212;Lescheroux;36;720;35.6;25
01213;Leyment;80;1417;98.2;0
01214;Leyssard;15;163;17.9;0
01215;Surjoux-Lhopital;7;140;17.6;N/A - résultat non disponible
01216;Lhuis;50;891;36.5;11.1
01219;Lompnas;10;162;12.8;0
01224;Loyettes;239;3468;158.9;7.7
01225;Lurcy;28;404;81.7;0
01227;Magnieu;43;651;57.6;0
01228;Maillat;68;693;60;12.5
01229;Malafretaz;69;1235;132.1;0
01230;Mantenay-Montlin;24;320;28.5;0
