Date de début;Date de fin;Organisme;code zas;Zas;code site;nom site;type d'implantation;Polluant;type d'influence;Réglementaire;type d'évaluation;type de valeur;valeur;valeur brute;unité de mesure;taux de saisie;couverture temporelle;couverture de données;code qualité;validité;Latitude;Longitude
2022/01/02 00:00:00;2022/01/02 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04058;Auto A1 -Saint-Denis;Urbaine;PM2.5;Trafic;Oui;mesures fixes;Moy. journalière;11.0;11.4666666667;µg-m3;100.0;100;100.0;A;1;48.925278;2.356667
2022/01/02 00:00:00;2022/01/02 23:59:59;AIRPARIF;FR11ZRE01;ZR ILE-DE-FRANCE;FR04066;Zone rurale Sud;Rurale régionale;PM2.5;Fond;Oui;mesures fixes;Moy. journalière;7.1;7.0625;µg-m3;100.0;100;100.0;A;1;48.364166;2.236944
2022/01/02 00:00:00;2022/01/02 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04122;RN6-MELUN;Périurbaine;PM2.5;Trafic;Oui;mesures fixes;Moy. journalière;8.1;8.0875;µg-m3;100.0;100;100.0;A;1;48.528057;2.653611
2022/01/02 00:00:00;2022/01/02 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04131;Boulevard Haussmann;Urbaine;PM2.5;Trafic;Oui;mesures fixes;Moy. journalière;11.0;10.5875;µg-m3;100.0;100;100.0;A;1;48.873333;2.330278
2022/01/02 00:00:00;2022/01/02 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04156;BOBIGNY;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. journalière;9.7;9.6541666667;µg-m3;100.0;100;100.0;A;1;48.902504;2.4525
2022/01/02 00:00:00;2022/01/02 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04180;RN20 - MONTLHERY;Périurbaine;PM2.5;Trafic;Oui;mesures fixes;Moy. journalière;11.0;10.8;µg-m3;100.0;100;100.0;A;1;48.64093;2.26872
2022/01/02 00:00:00;2022/01/02 23:59:59;AIRPARIF;FR11ZRE01;ZR ILE-DE-FRANCE;FR04181;RAMBOUILLET;Périurbaine;PM2.5;Fond;Oui;mesures fixes;Moy. journalière;7.7;7.7318181818;µg-m3;92.0;100;92.0;A;1;48.63373;1.830529
2022/01/02 00:00:00;2022/01/02 23:59:59;AIRPARIF;FR11ZRE01;ZR ILE-DE-FRANCE;FR04328;Zone Rurale SE;Rurale régionale;PM2.5;Fond;Oui;mesures fixes;Moy. journalière;6.0;5.9958333333;µg-m3;100.0;100;100.0;A;1;48.3547;2.6453
2022/01/02 00:00:00;2022/01/02 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04329;Bld peripherique Est;Urbaine;PM2.5;Trafic;Oui;mesures fixes;Moy. journalière;11.0;10.9363636364;µg-m3;92.0;100;92.0;R;1;48.838615;2.412781
2022/01/03 00:00:00;2022/01/03 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04002;GENNEVILLIERS;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. journalière;6.4;6.4208333333;µg-m3;100.0;100;100.0;A;1;48.930319;2.29435
2022/01/03 00:00:00;2022/01/03 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04004;PARIS 18eme;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. journalière;7.0;6.9954545455;µg-m3;92.0;100;92.0;R;1;48.891666;2.346667
2022/01/03 00:00:00;2022/01/03 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04024;GONESSE;Périurbaine;PM2.5;Fond;Oui;mesures fixes;Moy. journalière;7.8;7.8166666667;µg-m3;100.0;100;100.0;A;1;48.99083;2.444722
